material_id,formula,metal_element,formation_energy_per_atom,band_gap,density,total_magnetization,filename
mp-1094344,Mg2Ti,Mg,0.128725837222222,0.0,2.60879644610312,1.7212567,cif_files/ti_metals/mp-1094344_Mg2Ti.cif
mp-1094356,Mg2Ti,Mg,0.161437073888888,0.0,2.5829854453151313,0.0007453,cif_files/ti_metals/mp-1094356_Mg2Ti.cif
mp-1094361,Mg2Ti,Mg,0.157374578888888,0.0,2.592648389212321,0.598409499999999,cif_files/ti_metals/mp-1094361_Mg2Ti.cif
mp-1094362,Mg2Ti,Mg,0.16654192888888802,0.0,2.632262773091533,0.869611199999999,cif_files/ti_metals/mp-1094362_Mg2Ti.cif
mp-1094369,Mg2Ti,Mg,0.155161107222221,0.0,2.6218643432564672,0.013699,cif_files/ti_metals/mp-1094369_Mg2Ti.cif
mp-1094370,Mg2Ti,Mg,0.22082286555555503,0.0,2.570201447384058,6.6299467,cif_files/ti_metals/mp-1094370_Mg2Ti.cif
mp-1094373,Mg2Ti,Mg,0.24806278722222103,0.0,2.550163309713726,4.0043152,cif_files/ti_metals/mp-1094373_Mg2Ti.cif
mp-1094374,Mg2Ti,Mg,0.25658926388888803,0.0,2.585907684802161,2.9400054,cif_files/ti_metals/mp-1094374_Mg2Ti.cif
mp-1094377,Mg2Ti,Mg,0.20713807055555503,0.0,2.569229636955265,3.9971923,cif_files/ti_metals/mp-1094377_Mg2Ti.cif
mp-1094386,Mg2Ti,Mg,0.131010031805555,0.0,2.5919859236945433,0.2902547,cif_files/ti_metals/mp-1094386_Mg2Ti.cif
